size,mode,threads,warmup_time,trial_1
10,sequential,1,0.000334,0.000744
10,parallel,1,0.001310,0.001178
10,parallel,2,0.026185,0.022235
10,parallel,4,1.081837,0.951892
10,parallel,8,1.519052,1.531058
100,sequential,1,0.140001,0.120069
100,parallel,1,0.092230,0.112132
100,parallel,2,0.496403,0.248214
100,parallel,4,0.057161,0.053748
100,parallel,8,1.082404,0.157180
1000,sequential,1,28.282462,22.287296
1000,parallel,1,20.821760,21.365547
1000,parallel,2,11.444242,10.255596
1000,parallel,4,9.364440,9.290119
1000,parallel,8,4.574894,6.410929
10000,sequential,1,1034.514273,631.651291
10000,parallel,1,1056.414257,781.966121
10000,parallel,2,473.240608,469.693901
10000,parallel,4,265.606698,238.789634
10000,parallel,8,153.442114,147.331027
