iterations,mode,threads,warmup_time,trial_1
10,sequential,1,0.196236,0.204978
10,parallel,1,0.229328,0.214606
10,parallel,2,0.129525,0.133231
10,parallel,4,0.093432,0.088889
10,parallel,8,0.083776,0.056167
20,sequential,1,0.389923,0.395746
20,parallel,1,0.486289,0.474444
20,parallel,2,0.285643,0.296590
20,parallel,4,0.174219,0.166888
20,parallel,8,0.111713,0.406596
30,sequential,1,3.871236,5.000161
30,parallel,1,4.992209,5.260365
30,parallel,2,0.388724,0.404970
30,parallel,4,0.269797,0.264252
30,parallel,8,0.176469,0.161422
40,sequential,1,2.999768,0.807577
40,parallel,1,0.973080,0.906450
40,parallel,2,0.528918,0.525646
40,parallel,4,0.323453,0.296909
40,parallel,8,0.206029,0.219617
